Percentage served,Time in ms
0,39.527
1,74.235
2,74.556
3,75.249
4,75.674
5,76.472
6,77.140
7,78.125
8,79.042
9,81.975
10,83.056
11,83.319
12,83.725
13,83.953
14,84.520
15,85.708
16,86.049
17,86.344
18,86.643
19,86.868
20,87.094
21,87.326
22,87.471
23,87.645
24,88.071
25,88.736
26,89.517
27,90.524
28,91.791
29,93.294
30,94.473
31,95.634
32,98.164
33,109.157
34,124.945
35,134.190
36,150.634
37,157.054
38,157.553
39,158.713
40,159.152
41,159.437
42,159.819
43,160.097
44,160.313
45,160.547
46,160.741
47,160.972
48,161.278
49,162.080
50,162.716
51,163.560
52,163.956
53,164.239
54,164.628
55,165.126
56,165.457
57,166.052
58,166.828
59,167.334
60,167.947
61,168.513
62,169.036
63,169.312
64,169.533
65,169.738
66,170.048
67,170.647
68,171.077
69,171.673
70,172.079
71,172.742
72,173.738
73,174.395
74,175.301
75,176.020
76,176.530
77,177.210
78,178.832
79,180.931
80,181.769
81,183.841
82,185.243
83,187.458
84,199.708
85,215.112
86,243.814
87,264.113
88,275.926
89,320.352
90,1084.685
91,1099.119
92,1116.935
93,1160.836
94,1171.226
95,1180.007
96,1249.472
97,1492.709
98,3165.037
99,3202.286
